damel,时间,省,流域,河名,库水位(米),站点编号,站名,蓄水量(百万3),入库(米3/秒)
185,2023-04-11 14:00:00,湖北省,长江,长江,156.03,60106980,三峡,23480,5600
298,2023-04-11 08:00:00,重庆市,长江,大洪河,287.81,60512050,大洪河,58,1
350,2023-04-11 08:00:00,重庆市,长江,龙溪河,336.13,60512080,狮子滩,338,9
482,2023-04-11 08:00:00,重庆市,长江,龙河,454.73,60531770,石板水,36,3
710,2023-04-11 14:00:00,甘肃省,长江,白龙江,698.11,60706825,碧口水库,86,144
765,2023-04-11 14:00:00,贵州省,长江,乌江,731.5,60800520,乌江渡水电站,1082,0
1243,2023-04-11 14:00:00,贵州省,长江,猫跳河,1230.549,60805700,红枫水库,224,0
1199,2023-04-11 14:00:00,贵州省,长江,猫跳河,1190.94,60805809,百花水库,129,0
1475,2023-04-11 14:00:00,湖北省,长江,郁江,1464.55,60811560,福宝山水库,4,0
330,2023-04-11 14:00:00,湖北省,长江,黄柏河,300.35,60900610,西北口水库,66,0
174,2023-04-11 14:00:00,湖北省,长江,玛瑙河,168.2,60903700,白河水库,9,0
153,2023-04-11 14:00:00,湖北省,长江,印河,145.78,60908800,跑马水库,22,0
129,2023-04-11 14:00:00,湖北省,长江,漳河,115.1,60911010,李家州,417,0
126,2023-04-11 14:00:00,湖北省,长江,漳河,115.11,60917010,烟墩,595,0
92,2023-04-11 14:00:00,湖北省,长江,花庙河,85.17,60918000,石子岭水库,9,0
82,2023-04-11 14:00:00,湖北省,长江,长江,76.18,60931200,鲁家港水库,21,0
138,2023-04-11 14:00:00,湖北省,长江,巩河,124.92,60938000,巩河水库,0,0
409,2023-04-11 14:00:00,湖北省,长江,清江,367.798,61002791,水布垭(坝上),2609,162
206,2023-04-11 14:00:00,湖北省,长江,清江,183.3,61003101,隔河岩(坝上),2032,104
83,2023-04-11 14:00:00,湖北省,长江,清江,79.12,61004710,高坝洲(坝上),379,1
740,2023-04-11 14:00:00,湖北省,长江,车坝河,719.96,61004950,车坝水库,22,0
43,2023-04-11 14:00:00,湖北省,长江,沮漳河,36.75,61013300,太湖港水库,29,0
324,2023-04-11 14:00:00,湖南省,长江,江华水,299.7,61103150,涔天河,776,267
176,2023-04-11 14:00:00,湖南省,长江,湘江,166.12,61103450,双牌,268,141
134,2023-04-11 14:00:00,湖南省,长江,舂陵水,127.12,61105650,欧阳海,212,50
294,2023-04-11 14:00:00,湖南省,长江,耒水,270.56,61108050,东江,5994,41
170,2023-04-11 08:00:00,湖南省,长江,攸水,152.61,61111500,酒埠江,104,11
251,2023-04-11 08:00:00,湖南省,长江,永乐江,225.98,61111750,青山垅,24,4
97,2023-04-11 08:00:00,湖南省,长江,涟水,87.9,61113550,水府庙,160,39
169,2023-04-11 08:00:00,湖南省,长江,沩水,145.5,61116200,黄材,32,1
128,2023-04-11 08:00:00,湖南省,长江,涧江,106.52,61140750,官庄,25,3
176,2023-04-11 14:00:00,湖南省,长江,资水,152.3,61201300,柘溪,1185,183
117,2023-04-11 14:00:00,湖南省,长江,沅水,97.86,61302350,五强溪,1683,1829
211,2023-04-11 14:00:00,湖南省,长江,酉水,192.66,61312550,凤滩,907,155
539,2023-04-11 14:00:00,湖北省,长江,新峡河,524.43,61312950,新峡水库,21,0
94,2023-04-11 08:00:00,湖南省,长江,白洋河,81.41,61315100,黄石,199,7
98,2023-04-11 14:00:00,湖北省,长江,洈水,87.03,61501000,洈水水库,0,0
54,2023-04-11 14:00:00,湖北省,长江,界溪河,47.76,61501150,卷桥水库,0,0
88,2023-04-11 14:00:00,湖南省,长江,涔水,73.16,61504200,王家厂,0,0
130,2023-04-11 14:00:00,湖北省,长江,新河,118.46,61520250,北河水库,42,0
96,2023-04-11 08:00:00,湖南省,长江,新墙河,86.71,61534300,铁山,348,5
65,2023-04-11 14:00:00,湖北省,长江,富水,51.41,61606600,富水,593,0
129,2023-04-11 08:00:00,湖北省,长江,湄港,118.9,61607280,雨山水库,5,0
268,2023-04-11 08:00:00,湖北省,长江,宋家港,239.0,61607350,石门塘水库,0,0
75,2023-04-11 14:00:00,湖北省,长江,三溪河,63.22,61608180,王英,314,0
68,2023-04-11 14:00:00,湖北省,长江,栗树河,56.91,61609700,梅店,41,0
53,2023-04-11 14:00:00,湖北省,长江,夏家河,47.47,61609810,夏家寺,146,0
115,2023-04-11 14:00:00,湖北省,长江,檀树岗河,106.01,61610700,檀树岗,31,0
120,2023-04-11 14:00:00,湖北省,长江,张家河,113.11,61610750,八角庙,9,0
122,2023-04-11 14:00:00,湖北省,长江,四马河,112.53,61610810,烟宝地,28,0
89,2023-04-11 14:00:00,湖北省,长江,火莲畈,77.5,61610900,火莲畈,7,0
74,2023-04-11 14:00:00,湖北省,长江,金沙河,66.34,61611010,金沙河,76,0
162,2023-04-11 08:00:00,湖北省,长江,跳石河,153.54,61612560,大河铺,7,0
128,2023-04-11 14:00:00,湖北省,长江,芭茅河,116.51,61612580,芭茅河,5,0
156,2023-04-11 14:00:00,湖北省,长江,阎家河,142.21,61612610,三河口,81,0
98,2023-04-11 14:00:00,湖北省,长江,白杲河,88.98,61613010,明山,80,0
71,2023-04-11 14:00:00,湖北省,长江,浮桥河,59.82,61614200,浮桥河,141,0
73,2023-04-11 14:00:00,湖北省,长江,杨家河,65.67,61614410,尾斗山,55,0
104,2023-04-11 08:00:00,湖北省,长江,沙河,94.7,61614600,黑石嘴,5,0
88,2023-04-11 14:00:00,湖北省,长江,沙河,74.25,61615000,道观河,45,0
303,2023-04-11 14:00:00,湖北省,长江,新昌河,288.84,61615810,天堂,67,0
250,2023-04-11 14:00:00,湖北省,长江,新昌河,246.93,61615820,天堂二级,9,0
111,2023-04-11 14:00:00,湖北省,长江,浠水,95.87,61617810,白莲河,377,0
256,2023-04-11 14:00:00,湖北省,长江,西河,237.8,61619298,张家嘴,50,0
128,2023-04-11 14:00:00,湖北省,长江,蕲水,113.19,61619410,大同,101,0
98,2023-04-11 14:00:00,湖北省,长江,蕲水,87.42,61619800,花园,45,0
168,2023-04-11 08:00:00,湖北省,长江,石门港,159.81,61625400,石门水库,11,0
180,2023-04-11 14:00:00,湖北省,长江,长河,170.04,61649400,跨马墩,16,0
183,2023-04-11 14:00:00,湖北省,长江,长河,169.38,61650000,凤凰关,11,0
80,2023-04-11 08:00:00,湖北省,长江,巴水,71.86,61651200,牛车河,54,0
55,2023-04-11 14:00:00,湖北省,长江,新桥河,44.85,61658300,鹞鹰岩,8,0
