时间,水位,W,RWPTN,入库,出库,RSVRTP,HHRZ,HHRZTM,汛限水位,比讯限,ADDVCD站名,DRNA,FRGRD,HNNM,LGTD,LTTD,河流,站点编号,站点位置,站名,STTP,HN_NUM
2023-04-15T00:00:00.000Z,388.00,6.75,6,24.00,24.00,2,-,,390.0,-2.00,431081,716.0,2,湘江,113.478506,25.5712,浙水,611K0964,郴州市资兴市黄草镇,浙江,RR,1
2023-04-15T00:00:00.000Z,90.50,8.4,6,-,-,3,-,,92.5,-2.00,430203,19.0,2,湘江,113.257,27.843056,枫溪港,611K1451,株洲市芦淞区大京管委会,大京,RR,1
2023-04-15T00:00:00.000Z,338.50,17.0,5,1615.00,-,3,-,,340.5,-2.00,430527,,2,沅水,110.231944,26.545,巫水,613K2610,邵阳市绥宁县关峡苗族乡,江口塘,RR,3
2023-04-15T00:00:00.000Z,76.91,6.71,4,0.12,0.24,3,-,,79.0,-2.09,430121,,2,湘江,113.393611,28.536222,金井河,611K1841,长沙市长沙县金井镇,金井,RR,1
2023-04-15T08:00:00.000Z,27.88,,6,-,-,3,-,,30.0,-2.12,430623,,2,洞庭湖,112.5567,29.37153,西湖,615K0206,岳阳市华容县南山乡,北汊,RR,5
2023-04-15T00:00:00.000Z,822.27,10.58,5,1.52,1.45,3,-,,824.43,-2.16,431081,,2,湘江,113.62,26.07944,永乐江,611K0951,郴州市资兴市州门司镇杨洞水库,杨洞,RR,1
2023-04-15T00:00:00.000Z,1058.80,0.684,4,0.10,0.10,2,-,,1061.0,-2.20,431025,23.0,2,北江,112.426917,25.239278,武江,810K0102,郴州市临武县西山瑶族乡,分水坳,RR,8
2023-04-15T00:00:00.000Z,227.30,12.64,5,38.20,24.90,3,-,,229.5,-2.20,433127,1236.0,2,沅水,109.839917,28.870333,猛洞河,613K0609,湘西州永顺县抚志乡,海螺,RR,3
2023-04-15T00:00:00.000Z,84.90,11.32,5,-,-,3,-,,87.2,-2.30,430682,,2,洞庭湖,113.5176,29.35256,游港河,615K0606,岳阳市临湘市忠防镇,忠防,RR,5
2023-04-15T00:00:00.000Z,420.00,1.5,4,-,-,2,-,,422.4,-2.40,431023,11.0,2,湘江,112.749417,26.117611,九山河,611K0607,郴州市永兴县油麻镇,马头江,RR,1
2023-04-15T00:00:00.000Z,162.44,7.58,4,60.00,100.00,3,-,,165.0,-2.56,430802,,2,澧水,110.4513,29.12708,澧水,614K0003,张家界市永定区大庸桥街道,木龙滩,RR,4
2023-04-15T00:00:00.000Z,30.42,14.46,6,-,-,3,-,,33.0,-2.58,430921,55.0,2,洞庭湖,112.433083,29.361639,沱江,615K2340,益阳市南县乌嘴乡,三仙湖,RR,5
2023-04-15T00:00:00.000Z,213.80,2.05,4,2.80,2.90,3,-,,216.5,-2.70,431023,45.0,2,湘江,112.810611,26.129111,九山河,611K0604,郴州市永兴县悦来镇,黄口堰,RR,1
2023-04-15T08:00:00.000Z,125.76,178.2,,74.21,213.10,4,130.13,1985-05-31T16:00:00.000Z,128.5,-2.74,431021,5409.0,1,湘江,112.686934,26.0965,舂陵水,61105650,郴州市桂阳县桥市乡,欧阳海,RR,1
2023-04-15T00:00:00.000Z,114.91,4.732,5,0.24,0.05,3,-,,117.7,-2.79,430421,,2,湘江,112.3865,27.24278,柿竹水,611K1128,衡阳市衡阳县渣江镇,石狮堰,RR,1
2023-04-15T00:00:00.000Z,298.07,26.47,5,50.00,-,3,-,,301.0,-2.93,431228,,2,沅水,109.3957,27.39983,舞水,613K1618,怀化市芷江侗族自治县大洪山乡,春阳滩,RR,3
2023-04-15T08:00:00.000Z,187.08,139.7,,100.33,426.70,4,190,2010-11-17T16:00:00.000Z,190.03,-2.95,431281,,1,沅水,109.966666,27.13333,沅江,61300950,怀化市洪江市横岩乡,洪江,RR,3
