时间,水位,流量,WPTN,警戒水位,OBHTZ,OBHTZTM,比警戒,HIS,ADDVCD,市,ATCUNIT,BGFRYM,主流,基本站,DRNA,DSTRVM,DTMEL,基准面,DTPR,ESSTYM,FRGRD,支流,LGTD,LOCALITY,LTTD,MODITIME,PHCD,河名,STAZT,STBK,STCD,站点编号,站点位置,站名站点类型,USFL,HN_NUM
2023-04-16T08:00:00.000Z,42.16,-,6,-,-,,-,NaN,430281,株洲,水文,201310,长江,中小河流,-,,,假定,0.0,201305,3,湘江,113.277222,湖南水文,27.6425,2023-04-14T05:12:36.000Z,ST,渌水,,0,611E2180,株洲市醴陵市石亭镇长塘村,石亭,ZZ,1,1
2023-04-16T08:00:00.000Z,63.64,-,4,-,-,,-,NaN,430725,常德水利(山洪),山洪,,长江,山洪预警,-,,,假定,,201212,5,沅水,111.374556,湖南水文,29.130556,2023-04-14T05:11:30.000Z,BYH,白洋河,,,613H2214,常德市桃源县漆河镇长寿街居委会,白洋河,ZZ,1,3
2023-04-16T08:00:00.000Z,66.34,15.2,5,-,-,,-,NaN,430321,湘潭,水文,,长江,中小河流,-,,,假定,0.0,201512,3,湘江,112.569444,湖南水文,27.485,2023-04-14T05:11:39.000Z,QSQ,青山河,,,611E2370,湘潭市湘潭县青山桥镇富石村,青山桥,ZQ,1,1
2023-04-16T08:00:00.000Z,33.00,-,4,-,-,,-,NaN,430112,长沙水利(山洪),山洪,,长江,山洪预警,90,,,黄海,,201209,5,湘江,112.798889,湖南水文,28.383056,2023-04-14T05:11:34.000Z,TSHZ,八曲河,,,611H1909,长沙市望城区乌山镇团山湖堤委会,团山湖垸,ZZ,1,1
2023-04-16T08:00:00.000Z,116.31,-,6,-,-,,-,NaN,431382,娄底,水文,201310,长江,中小河流,330,,,假定,0.0,201408,3,湘江,111.706111,湖南水文,27.581667,2023-04-14T05:12:22.000Z,HT,孙水,,,611E2520,娄底市涟源市白马镇洪田村,洪田,ZZ,1,1
2023-04-16T08:00:00.000Z,27.92,-,4,-,-,,-,NaN,430623,岳阳水利(山洪),山洪,,长江,山洪预警,-,,,,,201911,5,洞庭湖,112.884555,湖南水文,29.663771,2023-04-14T05:12:10.000Z,DJH,长江,,,615H0202,岳阳市华容县东山镇,大荆湖,ZZ,1,5
2023-04-16T08:00:00.000Z,280.56,-,,-,-,,-,NaN,431026,郴州,水文,,长江,中小河流,463,193.0,,85基准,0.0,201506,3,赣江,113.937778,湖南水文,25.605556,2023-04-14T05:11:11.000Z,JY,章江,,,62306136,郴州市汝城县集益乡集龙村,集益,ZQ,1,8
2023-04-16T08:00:00.000Z,27.64,-,6,-,-,,-,NaN,430623,岳阳水利(山洪),山洪,,长江,山洪预警,-,,,,,201911,5,洞庭湖,112.480128,湖南水文,29.576709,2023-04-14T05:12:22.000Z,TXH,藕池河东支,,,615H0203,岳阳市华容县章华镇,塌西湖,ZZ,1,5
2023-04-16T08:00:00.000Z,32.33,-,6,-,-,,-,NaN,430121,长沙,水文,201310,长江,中小河流,182,11.0,,85基准,,201305,3,湘江,113.081111,湖南水文,28.361944,2023-04-14T05:12:33.000Z,AS,白沙河,,,611E2900,长沙市长沙县安沙镇龙华新村,安沙,ZZ,1,1
2023-04-16T07:00:00.000Z,161.44,-,,-,-,,-,NaN,431224,怀化,水文,,长江,中小河流,745,9.0,,假定,,201601,3,沅水,110.6495,湖南水文,27.907306,2023-04-14T05:10:33.000Z,BDP,四都河,,,613E1280,怀化市溆浦县桥江镇沙湾村,白地坪,ZQ,1,3
2023-04-16T08:00:00.000Z,84.33,-,6,-,-,,-,NaN,430182,长沙,水文,201310,长江,中小河流,234,34.0,0.061,冻结(85基准),,201305,3,湘江,112.334722,湖南水文,27.992222,2023-04-14T05:12:27.000Z,HT,乌江,,,611E2920,长沙市宁乡市灰汤镇花果村,灰汤,ZZ,1,1
2023-04-16T08:00:00.000Z,126.33,-,4,-,-,,-,NaN,431123,永州水利(山洪),山洪,201201,长江,山洪预警,68,4.0,,85基准,,201105,5,湘江,111.651111,湖南水文,25.965556,2023-04-14T05:11:34.000Z,SPXC,湘江,,,611G0800,永州市双牌县泷泊镇滨江广场,双牌县城,ZZ,1,1
2023-04-16T08:00:00.000Z,51.20,10.617,4,-,-,,-,NaN,430182,长沙,水文,202201,长江,防汛站,-,,,,,202201,4,湘江,112.481944,湖南水文,28.189444,2023-04-14T05:12:02.000Z,BT,沩水,,,611F1959,长沙市宁乡市坝塘镇保安村,坝塘,ZQ,1,1
2023-04-16T08:00:00.000Z,24.56,-,4,-,-,,-,NaN,430611,岳阳水文,水文,202007,长江,防汛站,-,,,,,202007,4,长江,112.5455,湖南水文,29.3251,2023-04-14T05:11:53.000Z,LJWZ,长江,,,615F0055,岳阳市君山区建设垸长江干堤桩号42+524临江外闸(河流),临江外闸,ZZ,1,6
2023-04-16T08:00:00.000Z,29.98,-,,-,-,,-,NaN,430903,益阳,水文,201807,长江,防汛站-内湖共享,-,,,,,201807,4,湘江,112.587517,湖南水文,28.542616,2023-04-14T05:10:12.000Z,SQZW,张芦渠,,,611F2716,益阳市赫山区,双庆闸(外),ZZ,1,1
2023-04-16T08:00:00.000Z,33.84,-,5,-,-,,-,NaN,430723,常德,水文,201806,长江,防汛站-内湖,-,,,,,201805,4,洞庭湖,111.89972,湖南水文,29.655833,2023-04-14T05:11:35.000Z,ZDKPSZ,澹水下游,,,615F1004,常德市澧县,中渡口排水闸(内),ZZ,1,5
2023-04-16T08:00:00.000Z,29.97,-,,-,-,,-,NaN,430903,益阳,水文,201807,长江,防汛站-内湖共享,-,,,,,201807,4,湘江,112.707156,湖南水文,28.62971,2023-04-14T05:12:38.000Z,XQSZN,烂泥湖撇洪河,,,611F2734,益阳市赫山区,新泉寺闸(内),ZZ,1,1
2023-04-16T08:00:00.000Z,85.63,-,6,-,-,,-,NaN,430481,衡阳,水文,,长江,中小河流,192,12.0,,85基准,,201610,3,湘江,112.985,湖南水文,26.521667,2023-04-14T05:12:15.000Z,DS,敖山河,,,611E1600,衡阳市耒阳市大市镇芭蕉村,大市,ZQ,1,1
2023-04-16T08:00:00.000Z,170.71,-,,-,-,,-,NaN,431003,郴州,水文,201310,长江,中小河流,126,,,假定,0.0,201401,3,湘江,113.152109,湖南水文,25.801073,2023-04-14T05:11:55.000Z,SZY,东河,,1,611E1480,郴州市苏仙区白露塘镇柿竹园村,柿竹园,ZZ,1,1
2023-04-16T08:00:00.000Z,0.00,-,6,-,-,,-,NaN,430102,长沙,内涝,,长江,防汛站,-,,,假定,,201606,4,湘江,113.007,湖南水文,28.194,2023-04-14T05:11:54.000Z,CYLKL,未知,,,611N1802,长沙市芙蓉区五一路朝阳路口西南角,朝阳路口(涝),ZZ,1,1
2023-04-16T08:00:00.000Z,19.93,-,6,-,-,,-,NaN,431122,永州水利(山洪),山洪,201301,长江,山洪预警,26,14.0,,黄海,,201301,5,湘江,111.090278,湖南水文,26.390833,2023-04-14T05:11:41.000Z,YJHB,紫水河,,,611H0106,永州市东安县大庙口镇扬江河坝,扬江河坝,ZZ,1,1
2023-04-16T08:00:00.000Z,178.93,9.8,,-,-,,-,NaN,431024,郴州,水文,,长江,中小河流,286,44.0,,85基准,,201606,3,湘江,112.461171,湖南水文,25.671142,2023-04-14T05:11:24.000Z,XJ,黄狮江,,,611E1045,郴州市嘉禾县行廊镇滑石口村,肖家,ZQ,1,1
2023-04-16T03:16:29.000Z,106.52,-,,-,-,,-,NaN,431321,娄底水利(山洪),山洪,,长江,山洪预警,-,,,假定,,201201,5,湘江,112.108333,湖南水文,27.329444,2023-04-14T05:11:00.000Z,CT,侧水,,,611H7404,娄底市双峰县锁石镇锁石村,车田,ZZ,1,1
2023-04-16T08:00:00.000Z,262.16,2.451,,-,-,,-,NaN,433130,五凌电力,水利,,长江,五凌电力,-,,,,,,4,沅水,109.49,贵州水文,28.97,2019-10-25T07:32:47.000Z,,沅水,,,WL000031,五凌公司,小坝里(五),ZQ,1,3
