日期,站名,水位八点,库容八点,水位实时,库容实时,水位控制,库容控制,控制百分比
2023-04-19,周公宅水库,212.04,5871,211.97,5860,231.13,9570,61.2%
2023-04-19,皎口坝上,58.71,4501,58.76,4517,68.08,7808,57.8%
2023-04-19,亭下水库,67.49,3942,67.51,3948,82.65,10000,39.5%
2023-04-19,横山水库,87.59,2538,87.61,2542,109.67,7650,33.2%
2023-04-19,四明湖水库,13.48,5095,13.48,5095,16.28,7946,64.1%
2023-04-19,白溪水库,141.06,6573,141.21,6604,170.00,14500,45.5%
2023-04-19,溪下水库,32.17,183,32.37,190,55.00,2074,9.2%
2023-04-19,东钱湖水库,3.09,3357,3.09,3357,3.75,4429,75.8%
2023-04-19,横溪水库,22.94,997,22.92,994,31.42,2516,39.5%
2023-04-19,梅溪水库,37.01,801,37.24,820,46.61,1816,45.1%
2023-04-19,三溪浦水库,28.77,1630,28.80,1637,32.62,2534,64.6%
2023-04-19,十字路水库,19.18,1239,19.18,1239,23.62,1856,66.7%
2023-04-19,新路岙水库,10.65,218,10.76,224,21.46,1077,20.8%
2023-04-19,梁辉水库,34.55,1039,34.53,1037,45.00,2476,41.9%
2023-04-19,陆埠水库,39.55,1035,39.59,1039,46.19,1830,56.8%
2023-04-19,双溪口水库,51.89,1413,51.94,1418,62.50,2525,56.1%
2023-04-19,里杜湖水库,9.89,757,9.90,758,15.71,1703,44.5%
2023-04-19,梅湖水库,12.92,528,12.90,527,20.13,1304,40.4%
2023-04-19,上林湖水库,5.91,572,5.89,569,9.92,1299,43.8%
2023-04-19,郑徐水库,2.90,3353,2.90,3353,4.50,4246,79.0%
2023-04-19,四灶浦水库,4.57,1239,4.57,1239,6.13,1921,64.5%
2023-04-19,西溪水库,126.96,3014,127.12,3038,147.00,7100,42.8%
2023-04-19,黄坛水库,76.42,949,76.39,946,78.80,1150,82.3%
2023-04-19,杨梅岭水库,22.65,591,22.47,567,24.11,833,68.1%
2023-04-19,胡陈港水库,-0.03,5034,0.07,5131,0.55,5585,91.9%
2023-04-19,车岙港水库,3.49,659,3.50,663,4.52,1020,65.0%
2023-04-19,力洋水库,41.97,879,42.02,883,44.50,1102,80.1%
2023-04-19,仓岙水库,56.23,178,56.41,183,72.83,925,19.8%
2023-04-19,大塘港水库,0.57,2231,0.40,2115,0.85,2420,87.4%
2023-04-19,隔溪张水库,96.60,647,96.76,653,102.93,913,71.5%
2023-04-19,上张水库,27.01,787,27.08,794,35.00,1817,43.7%
2023-04-19,溪口水库,46.72,486,46.79,490,52.55,953,51.4%
2023-04-19,总计（32）,,62336,,62430,,114898,54.3%
2023-04-20,周公宅水库,211.97,5860,212.13,5886,231.13,9570,61.5%
2023-04-20,皎口坝上,58.73,4508,58.64,4480,68.08,7808,57.4%
2023-04-20,亭下水库,67.55,3960,67.54,3957,82.65,10000,39.6%
2023-04-20,横山水库,87.59,2538,87.55,2531,109.67,7650,33.1%
2023-04-20,四明湖水库,13.47,5085,13.46,5075,16.28,7946,63.9%
2023-04-20,白溪水库,141.23,6608,141.38,6640,170.00,14500,45.8%
2023-04-20,溪下水库,32.43,192,32.51,195,55.00,2074,9.4%
2023-04-20,东钱湖水库,3.09,3357,3.09,3357,3.75,4429,75.8%
2023-04-20,横溪水库,22.90,992,22.87,988,31.42,2516,39.3%
2023-04-20,梅溪水库,37.33,827,37.38,831,46.61,1816,45.8%
2023-04-20,三溪浦水库,28.80,1637,28.82,1641,32.62,2534,64.8%
2023-04-20,十字路水库,19.19,1240,19.19,1240,23.62,1856,66.8%
2023-04-20,新路岙水库,10.81,226,10.89,231,21.46,1077,21.4%
2023-04-20,梁辉水库,34.51,1034,34.48,1031,45.00,2476,41.6%
2023-04-20,陆埠水库,39.61,1041,39.62,1042,46.19,1830,57.0%
2023-04-20,双溪口水库,51.94,1418,51.91,1415,62.50,2525,56.0%
2023-04-20,里杜湖水库,9.91,760,9.91,760,15.71,1703,44.6%
2023-04-20,梅湖水库,12.89,526,12.85,522,20.13,1304,40.1%
2023-04-20,上林湖水库,5.88,567,5.87,566,9.92,1299,43.5%
2023-04-20,郑徐水库,2.90,3353,2.90,3353,4.50,4246,79.0%
2023-04-20,四灶浦水库,4.55,1231,4.54,1226,6.13,1921,63.8%
2023-04-20,西溪水库,127.17,3046,127.28,3062,147.00,7100,43.1%
2023-04-20,黄坛水库,76.36,944,76.21,931,78.80,1150,81.0%
2023-04-20,杨梅岭水库,22.54,576,22.37,554,24.11,833,66.5%
2023-04-20,胡陈港水库,0.10,5155,0.14,5195,0.55,5585,93.0%
2023-04-20,车岙港水库,3.50,663,3.50,663,4.52,1020,65.0%
2023-04-20,力洋水库,42.05,886,42.06,887,44.50,1102,80.5%
2023-04-20,仓岙水库,56.45,184,56.51,185,72.83,925,20.0%
2023-04-20,大塘港水库,0.43,2136,0.45,2150,0.85,2420,88.8%
