流域,站点编号,行政区,河名,站名,时间,水位(米),流量(米3/秒),警戒水位(米)
长江,61506600,湖南省,沅江,周文庙,2023-04-16 14:00:00,30.26,0,36.0
长江,61507600,湖南省,西洞庭湖湖口(北端),南咀,2023-04-16 14:00:00,28.84,608,34.0
长江,61507800,湖南省,西洞庭湖湖口(南端),小河咀,2023-04-16 14:00:00,29.04,2080,34.0
长江,61508000,湖南省,草尾河,草尾,2023-04-16 14:00:00,28.72,851,34.5
长江,61508400,湖南省,万子湖,沅江(二),2023-04-16 14:00:00,29.0,0,33.5
长江,61508600,湖南省,资水,沙头(二),2023-04-16 14:00:00,28.03,567,34.5
长江,61509820,湖南省,湘江(东支),湘阴,2023-04-16 14:00:00,23.26,0,34.0
长江,61509900,湖南省,横岭湖,营田,2023-04-16 14:00:00,23.08,0,33.5
长江,61510100,湖南省,汨罗江,加义(二),2023-04-16 14:00:00,88.62,72,0.0
长江,61510200,湖南省,汨罗江,平江,2023-04-16 14:00:00,68.46,0,70.5
长江,61510350,湖南省,汨罗江,伍市,2023-04-16 14:00:00,29.81,187,0.0
长江,61511000,湖南省,东洞庭湖,鹿角(二),2023-04-16 14:00:00,22.98,0,33.0
长江,61511900,湖南省,洞庭湖湖口,岳阳,2023-04-16 14:00:00,21.76,0,32.5
长江,61512000,,洞庭湖湖口,城陵矶(七里山),2023-04-16 14:00:00,21.72,5400,33.0
长江,61609400,湖北省,滠水,黄陂,2023-04-16 14:00:00,22.45,0,26.0
长江,61610600,湖北省,倒水,李家集,2023-04-16 14:00:00,24.86,0,28.0
长江,61612400,湖北省,举水,柳子港,2023-04-16 14:00:00,23.59,21,29.0
长江,61615600,湖北省,巴水,马家潭,2023-04-16 14:00:00,19.77,31,0.0
长江,61619600,湖北省,蕲水,西河驿,2023-04-16 14:00:00,19.76,39,0.0
长江,61703000,湖北省,陆水,崇阳(二),2023-04-16 14:00:00,50.96,50,0.0
长江,61703100,湖北省,陆水,洪下,2023-04-16 14:00:00,50.56,0,0.0
长江,61710000,湖北省,大河,白霓桥(二),2023-04-16 14:00:00,56.7,2,0.0
长江,61800100,陕西省,汉江,武侯镇,2023-04-16 14:00:00,556.84,24,0.0
长江,61800400,陕西省,汉江,汉中,2023-04-16 08:00:00,502.83,42,0.0
长江,61800600,陕西省,汉江,洋县,2023-04-16 14:00:00,454.63,84,0.0
长江,61800900,陕西省,汉江,石泉,2023-04-16 14:00:00,359.56,0,0.0
长江,61801300,陕西省,汉江,安康,2023-04-16 14:00:00,234.88,239,0.0
长江,61801700,陕西省,汉江,白河,2023-04-16 14:00:00,178.59,126,187.0
长江,61802800,湖北省,汉江,黄家港,2023-04-16 14:00:00,88.26,431,0.0
