LGTD,LTTD,站点编号,时间,站名,zr,ymdh,dyrn,z,保证水位,dwz,河名,avq,hnnm,w,detaz,unitname,damel,iymdh,fymdh,q,警戒水位,sttp,obhtztm,frgrd,obhtz
120.156846,31.809209,63202640,2023-04-17 22,石堰,3.61,,,3.61,,,太湖流域,,武澄锡虞区,,,,,,,1.930,,河道,2016-07-03 16:40:00,,5.590
119.780073,31.877849,63202650,2023-04-17 22,九里铺,3.57,,,3.57,,,太湖流域,,湖西区,,,,7.20,,,61.900,4.80,河道,2015-06-27 18:05:00,,6.550
119.917831,31.797932,63202740,2023-04-17 22,常州(三堡街),3.58,,,3.58,,,太湖流域,,武澄锡虞区,,,,,,,,,河道,,,
119.890000,31.750000,63202750,2023-04-17 22,常州(三),3.54,,,3.54,5.20,,太湖流域,,武澄锡虞区,,,,6.50,,,,4.30,河道,2015-06-27 19:15:00,,6.420
119.890000,31.750000,63202760,2023-04-17 22,钟楼闸,,,,,4.80,3.58,太湖流域,,武澄锡虞区,,,,,,,,4.30,闸坝,2015-06-27 19:15:00,,6.430
120.214564,31.644596,63202800,2023-04-17 22,洛社,3.51,,,3.51,4.85,,太湖流域,,武澄锡虞区,,,,7.00,,,,4.00,河道,2017-09-25 19:35:00,,5.400
120.316667,31.550000,63202850,2023-04-17 22,无锡南门,3.44,,,3.44,,,太湖流域,,武澄锡虞区,,,,5.20,,,,,河道,1991-07-02 00:00:00,,4.880
120.283415,31.557103,63202851,2023-04-17 22,无锡（大）,3.47,,,3.47,4.80,,太湖流域,,武澄锡虞区,,,,6.00,,,,4.00,河道,2017-09-25 19:05:00,,5.320
120.435991,31.441401,63202900,2023-04-17 22,望亭（大）,3.38,,,3.38,4.30,,太湖流域,,武澄锡虞区,,,,7.00,,,,3.90,河道,2017-09-25 00:00:00,,5.070
120.422100,31.449691,63202911,2023-04-17 22,望亭（立交）,3.18/3.35,,,3.18,4.66,3.35,太湖流域,,武澄锡虞区,,,,7.00,,,0.000,3.80,闸坝,1999-07-08 00:00:00,,5.020
120.560173,31.319210,63203000,2023-04-17 22,苏州（枫桥）,3.23,,,3.23,4.60,,太湖流域,,阳澄淀泖区,,,,5.20,,,,4.00,河道,2016-07-02 00:00:00,,4.820
120.642128,31.291274,63203040,2023-04-17 22,苏州(觅渡桥),2.97,,,2.97,,,太湖流域,,阳澄淀泖区,,,,,,,,,河道,,,
120.647711,31.266948,63203050,2023-04-17 22,苏州（二）,3.01,,,3.01,4.00,,太湖流域,,阳澄淀泖区,,,,4.00,,,,3.70,河道,1954-07-28 00:00:00,,4.370
119.417692,31.872900,63203200,2023-04-17 22,旧县,3.69,,,3.69,,,太湖流域,,湖西区,,,,,,,,7.00,河道,2003-07-06 00:00:00,,9.240
119.800220,32.104536,63203351,2023-04-17 22,九曲河闸,3.69/2.81,,,3.69,,2.81,太湖流域,,湖西区,,,,,,,4.400,5.60,闸坝,1996-08-01 00:00:00,,7.970
119.895558,32.055226,63203381,2023-04-17 22,新孟河闸,3.77/2.67,,,3.77,,2.67,太湖流域,,湖西区,,,,,,,,,闸坝,,,
119.936763,31.990255,63203501,2023-04-17 22,魏村闸,2.50/3.65,,,2.50,,3.65,太湖流域,,湖西区,,,,6.00,,,,6.00,闸坝,1996-08-01 05:20:00,,7.530
119.987440,31.967527,63203520,2023-04-17 22,澡港闸,2.46/3.54,,,2.46,,3.54,太湖流域,,武澄锡虞区,,,,6.00,,,,,闸坝,2016-07-06 05:30:00,,6.860
120.243967,31.740475,63203550,2023-04-17 22,青阳,3.56,,,3.56,4.85,,太湖流域,,武澄锡虞区,,,,6.00,,,,4.00,河道,1931-07-25 00:00:00,,6.150
120.063833,31.607911,63203555,2023-04-17 22,戴溪,3.53,,,3.53,4.80,,太湖流域,,武澄锡虞区,,,,6.50,,,,4.00,河道,2020-07-20 10:40:00,,5.070
120.160984,31.909200,63203560,2023-04-17 22,新沟河闸（闸上游）,3.60/2.18,,,3.60,,2.18,太湖流域,,武澄锡虞区,,,,,,,,,闸坝,,,
120.256009,31.912738,63203601,2023-04-17 22,定波闸,3.89,,,3.89,,,太湖流域,,武澄锡虞区,,,,9.25,,,,,闸坝,2016-07-03 16:10:00,,5.240
120.322009,31.949134,63203631,2023-04-17 22,白屈港,3.69,,,3.69,,,太湖流域,,武澄锡虞区,,,,7.50,,,-6.390,,闸坝,,,
120.405113,31.955097,63204000,2023-04-17 22,张家港闸（上）,3.59,,,3.59,7.00,,太湖流域,,武澄锡虞区,,,,7.00,,,,,闸坝,1962-09-06 00:00:00,,5.240
120.808862,31.841159,63204021,2023-04-17 22,江边枢纽（走）,3.43/1.64,,,3.43,,1.64,太湖流域,,武澄锡虞区,,,,,,,,,闸坝,,,
120.524489,31.727317,63204050,2023-04-17 22,陈墅,3.51,,,3.51,4.80,,太湖流域,,武澄锡虞区,,,,5.70,,,,3.90,河道,1962-09-06 00:00:00,,5.520
120.651576,31.973707,63204200,2023-04-17 22,十一圩港闸（上）,3.47,,,3.47,6.00,,太湖流域,,武澄锡虞区,,,,6.00,,,,,闸坝,1991-07-02 00:00:00,,4.930
120.592600,31.537958,63204250,2023-04-17 22,甘露,3.31,,,3.31,4.20,,太湖流域,,武澄锡虞区,,,,6.00,,,,3.80,河道,1991-07-03 00:00:00,,4.810
120.591000,31.604000,63204260,2023-04-17 22,张桥,3.31,,,3.31,4.20,,太湖流域,,武澄锡虞区,,,,,,,,3.80,河道,2015-06-18 06:00:00,,4.630
