日期,站名,时间,水位,流量
2023-02-22,迁江,02-22 08:00,60.87,886
2023-02-22,梧州（四）,02-22 08:00,2.45,2030
2023-02-22,高要,02-22 08:00,0.96,2500
2023-02-22,柳州,02-22 08:00,77.73,38
2023-02-22,金鸡（二）,02-22 08:00,26.45,15
2023-02-22,南宁（三）,02-22 08:00,66.99,435
2023-02-22,贵港,02-22 08:00,31.34,321
2023-02-22,石角,02-22 08:00,1.22,575
2023-02-23,迁江,02-04 08:00,59.670,503.000
2023-02-23,武宣,02-04 08:00,51.770,1520.000
2023-02-23,大湟江口(二),02-04 08:00,20.570,1920.000
2023-02-23,梧州（四）,02-04 08:00,2.100,1820.000
2023-02-23,高要,02-04 08:00,0.570,-433.000
2023-02-23,柳州,02-04 08:00,77.000,143.000
2023-02-23,对亭,02-04 08:00,71.570,20.500
2023-02-23,太平,02-04 08:00,33.970,72.900
2023-02-23,金鸡（二）,02-04 08:00,27.350,28.000
2023-02-23,南宁（三）,02-04 08:00,67.050,383.000
2023-02-23,贵港,02-04 08:00,31.240,282.000
2023-02-23,石角,02-04 08:00,0.620,320.000
2023-02-23,天河(二),02-04 08:00,0.860,2360.000
2023-02-23,冯马庙(二),02-04 08:00,0.440,-
2023-02-23,大虎,02-04 08:00,0.300,-
2023-02-24,迁江,02-04 08:00,59.670,503.000
2023-02-24,武宣,02-04 08:00,51.770,1520.000
2023-02-24,大湟江口(二),02-04 08:00,20.570,1920.000
2023-02-24,梧州（四）,02-04 08:00,2.100,1820.000
2023-02-24,高要,02-04 08:00,0.570,-433.000
2023-02-24,柳州,02-04 08:00,77.000,143.000
2023-02-24,对亭,02-04 08:00,71.570,20.500
2023-02-24,太平,02-04 08:00,33.970,72.900
2023-02-24,金鸡（二）,02-04 08:00,27.350,28.000
2023-02-24,南宁（三）,02-04 08:00,67.050,383.000
2023-02-24,贵港,02-04 08:00,31.240,282.000
2023-02-24,石角,02-04 08:00,0.620,320.000
2023-02-24,天河(二),02-04 08:00,0.860,2360.000
2023-02-24,冯马庙(二),02-04 08:00,0.440,-
2023-02-24,大虎,02-04 08:00,0.300,-
2023-02-25,迁江,02-04 08:00,59.670,503.000
2023-02-25,武宣,02-04 08:00,51.770,1520.000
2023-02-25,大湟江口(二),02-04 08:00,20.570,1920.000
2023-02-25,梧州（四）,02-04 08:00,2.100,1820.000
2023-02-25,高要,02-04 08:00,0.570,-433.000
2023-02-25,柳州,02-04 08:00,77.000,143.000
2023-02-25,对亭,02-04 08:00,71.570,20.500
2023-02-25,太平,02-04 08:00,33.970,72.900
