日期,站名,水位八点,库容八点,水位实时,库容实时,水位控制,库容控制,控制百分比
2023-04-27,亭下水库,67.41,3918,67.37,3906,82.65,10000,39.1%
2023-04-27,横山水库,86.97,2432,86.92,2424,109.67,7650,31.7%
2023-04-27,四明湖水库,13.36,4978,13.34,4958,16.28,7946,62.4%
2023-04-27,白溪水库,141.31,6625,141.27,6617,170.00,14500,45.6%
2023-04-27,溪下水库,33.04,212,33.06,213,55.00,2074,10.3%
2023-04-27,东钱湖水库,3.09,3357,3.10,3376,3.75,4429,76.2%
2023-04-27,横溪水库,22.60,951,22.58,949,31.42,2516,37.7%
2023-04-27,梅溪水库,37.30,825,37.27,822,46.61,1816,45.3%
2023-04-27,三溪浦水库,28.76,1628,28.76,1628,32.62,2534,64.3%
2023-04-27,十字路水库,19.29,1253,19.29,1253,23.62,1856,67.5%
2023-04-27,新路岙水库,11.12,242,11.09,241,21.46,1077,22.4%
2023-04-27,梁辉水库,34.16,996,34.14,994,45.00,2476,40.1%
2023-04-27,陆埠水库,39.69,1049,39.68,1048,46.19,1830,57.3%
2023-04-27,双溪口水库,51.62,1390,51.56,1384,62.50,2525,54.8%
2023-04-27,里杜湖水库,9.46,698,9.49,702,15.71,1703,41.2%
2023-04-27,梅湖水库,12.49,491,12.45,488,20.13,1304,37.4%
2023-04-27,上林湖水库,5.71,541,5.69,538,9.92,1299,41.4%
2023-04-27,郑徐水库,2.88,3342,2.88,3342,4.50,4246,78.7%
2023-04-27,四灶浦水库,4.90,1383,4.94,1400,6.13,1921,72.9%
2023-04-27,西溪水库,127.03,3025,126.80,2990,147.00,7100,42.1%
2023-04-27,黄坛水库,75.86,903,76.26,935,78.80,1150,81.3%
2023-04-27,杨梅岭水库,22.37,554,22.25,539,24.11,833,64.7%
2023-04-27,胡陈港水库,-0.04,5025,-0.29,4795,0.55,5585,85.8%
2023-04-27,车岙港水库,3.50,663,3.50,663,4.52,1020,65.0%
2023-04-27,力洋水库,41.92,875,41.89,873,44.50,1102,79.2%
2023-04-27,仓岙水库,56.53,186,56.56,187,72.83,925,20.2%
2023-04-27,大塘港水库,0.58,2237,0.57,2231,0.85,2420,92.2%
2023-04-27,隔溪张水库,94.90,585,93.40,533,102.93,913,58.4%
2023-04-27,上张水库,27.68,859,28.08,904,35.00,1817,49.7%
2023-04-27,溪口水库,47.00,505,46.98,503,52.55,953,52.8%
2023-04-27,总计（32）,,61965,,61656,,114898,53.7%
2023-04-28,周公宅水库,211.69,5815,211.69,5815,231.13,9570,60.8%
2023-04-28,皎口坝上,58.37,4396,58.29,4371,68.08,7808,56.0%
2023-04-28,亭下水库,67.38,3909,67.33,3894,82.65,10000,38.9%
2023-04-28,横山水库,86.89,2419,86.84,2411,109.67,7650,31.5%
2023-04-28,四明湖水库,13.33,4949,13.33,4949,16.28,7946,62.3%
2023-04-28,白溪水库,141.29,6621,141.25,6613,170.00,14500,45.6%
2023-04-28,溪下水库,33.09,214,33.13,216,55.00,2074,10.4%
2023-04-28,东钱湖水库,3.08,3338,3.09,3357,3.75,4429,75.8%
2023-04-28,横溪水库,22.57,947,22.54,943,31.42,2516,37.5%
2023-04-28,梅溪水库,37.26,821,37.23,819,46.61,1816,45.1%
2023-04-28,三溪浦水库,28.76,1628,28.75,1626,32.62,2534,64.2%
2023-04-28,十字路水库,19.29,1253,19.29,1253,23.62,1856,67.5%
2023-04-28,新路岙水库,11.13,243,11.12,242,21.46,1077,22.5%
2023-04-28,梁辉水库,34.12,992,34.11,991,45.00,2476,40.0%
2023-04-28,陆埠水库,39.68,1048,39.68,1048,46.19,1830,57.3%
2023-04-28,双溪口水库,51.58,1386,51.51,1380,62.50,2525,54.6%
2023-04-28,里杜湖水库,9.48,701,9.49,702,15.71,1703,41.2%
2023-04-28,梅湖水库,12.43,486,12.38,482,20.13,1304,36.9%
2023-04-28,上林湖水库,5.68,536,5.66,533,9.92,1299,41.1%
2023-04-28,郑徐水库,2.87,3337,2.87,3337,4.50,4246,78.6%
2023-04-28,四灶浦水库,4.97,1413,5.00,1426,6.13,1921,74.2%
2023-04-28,西溪水库,126.80,2990,126.55,2953,147.00,7100,41.6%
