时间,水位,W,RWPTN,入库,出库,RSVRTP,HHRZ,HHRZTM,汛限水位,比讯限,ADDVCD站名,DRNA,FRGRD,HNNM,LGTD,LTTD,河流,站点编号,站点位置,站名,STTP,HN_NUM
2023-04-26T00:00:00.000Z,70.60,6.66,6,-,-,3,-,,73.5,-2.90,430725,,2,沅水,111.3003,28.77167,沅水,613K2245,常德市桃源县剪市镇,九龙,RR,3
2023-04-26T00:00:00.000Z,389.50,1.12,5,-,-,2,-,,392.5,-3.00,431021,7.0,2,湘江,112.606639,25.990167,舂陵水,611K0562,郴州市桂阳县和平镇,大源,RR,1
2023-04-26T00:00:00.000Z,465.00,0.86,6,1.80,0.23,2,-,,468.0,-3.00,431026,64.0,2,赣江,113.796694,25.572194,章江,623K0000,郴州市汝城县土桥镇,东坑,RR,8
2023-04-26T00:00:00.000Z,247.99,5.934,5,0.50,0.32,3,254.09,2000-08-12T16:00:00.000Z,251.0,-3.01,431002,22.0,2,湘江,112.965,25.707222,郴江,61109720,郴州市北湖区石盖塘街道仙岭水库,仙岭,RR,1
2023-04-26T00:00:00.000Z,101.13,3.142,6,-,-,3,-,,104.2,-3.07,430726,24.0,2,澧水,111.431639,29.376222,龙口桥,614K1038,常德市石门县蒙泉镇,首桥,RR,4
2023-04-26T08:00:00.000Z,186.90,137.0,,136.20,99.76,4,190,2010-11-17T16:00:00.000Z,190.03,-3.13,431281,,1,沅水,109.966666,27.13333,沅江,61300950,怀化市洪江市横岩乡,洪江,RR,3
2023-04-26T00:00:00.000Z,108.25,7.385,5,2.15,0.58,3,-,,111.4,-3.15,430922,,2,资水,111.7489,28.60056,碧螺港,612K1130,益阳市桃江县武潭镇,碧螺,RR,2
2023-04-26T00:00:00.000Z,53.49,3.809,5,-,-,3,-,,56.68,-3.19,430681,,2,洞庭湖,113.0851,28.74097,汨罗江,615K0552,岳阳市汨罗市古培镇,汨罗,RR,5
2023-04-26T00:00:00.000Z,136.98,6.74,5,0.08,-,3,-,,140.2,-3.22,431003,,2,湘江,113.1072,26.01197,耒水,611K0502,郴州市苏仙区五里牌镇,大头垅,RR,1
2023-04-26T00:00:00.000Z,476.70,2.55,5,0.40,0.30,3,-,,480.0,-3.30,431025,,2,湘江,112.4564,25.42456,黄狮江,611K7000,郴州市临武县万水镇,万水洞,RR,1
2023-04-26T00:00:00.000Z,69.84,4.835,4,0.50,2.50,3,-,,73.24,-3.40,430602,1.0,2,洞庭湖,113.338236,29.309785,游港河,615K0011,岳阳市岳阳楼区经开区西塘镇兰桥村,兰桥,RR,5
2023-04-26T00:00:00.000Z,115.23,6.47,6,0.20,0.20,3,-,,118.74,-3.51,430223,56.0,2,湘江,113.3088,27.16436,浊江,611K1565,株洲市攸县大同桥镇,黄沙桥,RR,1
2023-04-26T00:00:00.000Z,43.59,5.227,6,0.02,0.02,3,-,,47.1,-3.51,430722,,2,洞庭湖,111.949889,28.813528,南湖撇洪河,615K0910,常德市汉寿县株木山街道,清水坝,RR,5
2023-04-26T07:10:46.000Z,54.61,,,-,-,3,-,,58.2,-3.59,430703,,2,沅水,111.6076,29.20536,渐水,613K2004,常德市鼎城区蔡家岗镇,五里溪,RR,3
2023-04-26T00:00:00.000Z,87.61,377.02,5,27.00,1.00,4,93.15,1995-06-02T16:00:00.000Z,91.2,-3.59,430621,493.0,1,洞庭湖,113.506111,29.165278,新墙河,61534300,岳阳市岳阳县公田镇,铁山,RR,5
2023-04-26T00:00:00.000Z,62.26,2.57,5,0.50,0.01,3,-,,65.95,-3.69,430181,,2,湘江,113.261111,28.023611,浏渭河,611K2019,长沙市浏阳市柏加镇,仙人造,RR,1
2023-04-26T00:00:00.000Z,111.30,44.26,4,20.00,40.00,3,-,,115.0,-3.70,430821,,2,澧水,111.0234,29.46581,溇水,614K0207,张家界市慈利县金慈街道饭甑山村,长潭河,RR,4
2023-04-26T00:00:00.000Z,190.56,6.67,5,0.39,0.07,3,-,,194.32,-3.76,430426,,2,湘江,111.9212,26.89153,双江口,611K1303,衡阳市祁东县黄土铺镇,上福冲,RR,1
2023-04-26T00:00:00.000Z,820.65,9.695,4,0.90,2.02,3,-,,824.43,-3.78,431081,,2,湘江,113.62,26.07944,永乐江,611K0951,郴州市资兴市州门司镇杨洞水库,杨洞,RR,1
2023-04-26T08:00:00.000Z,131.07,0.382,,-,-,2,133.3,2014-05-24T16:00:00.000Z,134.86,-3.79,360322,,5,湘江,113.928056,27.728333,萍水河,611R8240,江西省萍乡市上栗县赤山镇麻田村,幸福水库,RR,1
2023-04-26T00:00:00.000Z,210.75,6.025,5,2.48,0.29,3,-,,214.6,-3.85,430923,,2,资水,111.2,28.42694,柳溪,612K1213,益阳市安化县东坪镇,红岩,RR,2
2023-04-26T00:00:00.000Z,49.01,3.79,6,-,-,3,-,,53.0,-3.99,430725,,2,沅水,111.4353,29.04806,白洋河,613K2224,常德市桃源县枫树维吾尔族回族乡,田河,RR,3
2023-04-26T00:00:00.000Z,206.00,0.53,5,-,-,2,-,,210.0,-4.00,431021,4.0,2,湘江,112.771972,26.01125,舂陵水,611K0511,郴州市桂阳县雷坪镇,铁坑,RR,1
2023-04-26T00:00:00.000Z,59.09,4.02,4,-,-,3,-,,63.1,-4.01,430724,,2,澧水,111.7497,29.34667,沙溪河,614K0823,常德市临澧县柏枝乡,群英,RR,4
2023-04-26T00:00:00.000Z,147.91,45.802,6,10.00,13.81,3,-,,152.0,-4.09,430725,,2,沅水,111.0339,28.95083,大洑溪,613K2237,常德市桃源县观音寺镇,会人溪,RR,3
2023-04-26T00:00:00.000Z,119.75,5.41,4,1.80,3.04,3,-,,123.85,-4.10,430181,,2,湘江,113.528056,28.293611,捞刀河,611K2011,长沙市浏阳市淳口镇南康水库,南康,RR,1
