流域,站点编号,行政区,河名,站名,时间,水位(米),流量(米3/秒),警戒水位(米)
闽江,71210503,福建省,尤溪,尤溪大桥,2023-05-03 14:00:00,103.69,0,104.5
闽江,71211850,福建省,梅溪,闽清,2023-05-03 14:00:00,12.94,8,15.8
闽江,71212500,福建省,大樟溪,永泰,2023-05-03 14:00:00,27.19,3,31.0
晋江,71310200,福建省,晋江西溪,湖头,2023-05-03 14:00:00,97.51,14,100.0
晋江,71310700,福建省,晋江东溪,永春,2023-05-03 14:00:00,114.32,0,115.2
晋江,71310900,福建省,晋江东溪,洪濑,2023-05-03 14:00:00,18.5,22,20.5
闽东南诸河,71400300,福建省,九龙江,漳平,2023-05-03 14:00:00,154.99,106,158.0
闽东南诸河,71400600,福建省,九龙江,浦南,2023-05-03 14:00:00,4.19,0,9.0
闽东南诸河,71410900,福建省,西溪,郑店,2023-05-03 14:00:00,2.85,0,7.5
闽东南诸河,71411000,福建省,西溪,中山桥,2023-05-03 14:00:00,2.87,0,6.0
闽东南诸河,71411180,福建省,芗江,龙山,2023-05-03 14:00:00,41.43,0,44.0
闽东南诸河,71411202,福建省,船场溪,船场,2023-05-03 14:00:00,71.66,0,74.5
闽东南诸河,71411600,福建省,花山溪,平和,2023-05-03 14:00:00,29.51,0,32.5
闽东诸河,71500600,福建省,交溪,白塔,2023-05-03 14:00:00,20.48,74,26.0
闽东诸河,71501100,福建省,交溪,上白石,2023-05-03 14:00:00,58.1,0,62.71
闽东诸河,71501400,福建省,霍童溪,洋中坂,2023-05-03 14:00:00,16.99,67,21.25
闽南沿海诸河,71600300,福建省,木兰溪,濑溪,2023-05-03 14:00:00,5.09,0,10.0
闽东南诸河,71602100,福建省,诏安东溪,诏安,2023-05-03 14:00:00,1.72,0,4.0
珠江,80102300,云南省,南盘江,西桥,2023-05-03 14:00:00,1826.22,1,1830.91
珠江,80103800,云南省,南盘江,高古马,2023-05-03 14:00:00,1516.84,7,1521.8
珠江,80104700,云南省,南盘江,小龙潭,2023-05-03 14:00:00,1036.67,9,1043.36
珠江,80106000,云南省,南盘江,江边街,2023-05-03 14:00:00,962.67,45,969.3
珠江,80107200,贵州省,南盘江,天生桥(水位1),2023-05-03 14:00:00,440.99,751,0.0
珠江,80108000,广西壮族自治区,红水河,天峨,2023-05-03 14:00:00,220.0,421,234.5
珠江,80109600,广西壮族自治区,红水河,都安,2023-05-03 14:00:00,113.45,946,136.6
珠江,80111500,广西壮族自治区,红水河,迁江,2023-05-03 14:00:00,60.73,844,81.7
珠江,80112300,广西壮族自治区,黔江,武宣,2023-05-03 14:00:00,55.2,0,62.0
珠江,80113300,广西壮族自治区,浔江,大湟江口(二),2023-05-03 14:00:00,20.28,1470,31.7
珠江,80113700,广西壮族自治区,浔江,平南,2023-05-03 14:00:00,19.79,0,29.0
珠江,80114400,广西壮族自治区,浔江,藤县,2023-05-03 14:00:00,19.42,0,23.0
珠江,80115000,广西壮族自治区,西江,梧州（四）,2023-05-03 14:00:00,3.86,3370,18.5
珠江,80117000,广东省,西江,德庆(二),2023-05-03 14:00:00,0.82,0,15.0
西江,80118000,广东省,西江,高要,2023-05-03 14:00:00,0.87,-810,10.0
珠江,80214610,贵州省,马别河,马岭（水位1）,2023-05-03 14:00:00,948.09,6,958.0
珠江,80309010,贵州省,乌都河,草坪头(水位1),2023-05-03 14:00:00,1212.89,3,1218.0
珠江,80400800,贵州省,蒙江,雷公滩,2023-05-03 14:00:00,392.9,43,400.0
珠江,80410000,广西壮族自治区,刁江,马陇,2023-05-03 14:00:00,112.77,20,123.4
珠江,80413000,广西壮族自治区,清水河,上林(二),2023-05-03 14:00:00,105.94,7,108.3
珠江,80500500,贵州省,都柳江,把本（临）,2023-05-03 14:00:00,390.68,5,395.4
珠江,80501000,贵州省,都柳江,石灰厂,2023-05-03 14:00:00,239.13,16,250.0
珠江,80502000,广西壮族自治区,都柳江,涌尾,2023-05-03 14:00:00,137.12,49,146.1
珠江,80502500,广西壮族自治区,融江,长安,2023-05-03 14:00:00,112.23,0,114.6
珠江,80503000,广西壮族自治区,融江,融水,2023-05-03 14:00:00,102.14,172,106.6
珠江,80503500,广西壮族自治区,融江,柳城,2023-05-03 14:00:00,92.68,0,93.8
珠江,80504000,广西壮族自治区,柳江,柳州,2023-05-03 14:00:00,77.32,302,82.5
珠江,80504500,广西壮族自治区,柳江,象州,2023-05-03 14:00:00,55.37,249,69.0
珠江,80504700,贵州省,寨蒿河,寨蒿,2023-05-03 14:00:00,322.0,2,326.0
珠江,80505300,广西壮族自治区,古宜河,勒黄,2023-05-03 14:00:00,204.71,27,209.5
珠江,80505600,广西壮族自治区,古宜河,古宜,2023-05-03 14:00:00,150.54,0,152.6
珠江,80506800,广西壮族自治区,浪溪河,富乐,2023-05-03 14:00:00,152.9,16,157.5
珠江,80507500,广西壮族自治区,贝江,勾滩,2023-05-03 14:00:00,111.79,234,0.0
珠江,80507800,广西壮族自治区,阳江,小长安,2023-05-03 14:00:00,100.11,27,107.4
珠江,80510110,广西壮族自治区,龙江,金城江,2023-05-03 14:00:00,180.93,11,188.0
珠江,80510800,广西壮族自治区,龙江,三岔,2023-05-03 14:00:00,96.02,115,107.6
珠江,80511200,广西壮族自治区,环江,环江,2023-05-03 14:00:00,191.56,9,198.0
珠江,80511500,广西壮族自治区,东小江,天河,2023-05-03 14:00:00,165.88,10,170.0
珠江,80511600,广西壮族自治区,中洲小江,安马,2023-05-03 14:00:00,140.1,20,152.2
珠江,80514000,广西壮族自治区,洛清江,黄冕,2023-05-03 14:00:00,94.65,155,102.7
珠江,80514200,广西壮族自治区,洛清江,对亭,2023-05-03 14:00:00,72.54,149,81.7
