LGTD,LTTD,站点编号,时间,站名,zr,ymdh,dyrn,z,保证水位,dwz,河名,avq,hnnm,w,detaz,unitname,damel,iymdh,fymdh,q,警戒水位,sttp,obhtztm,frgrd,obhtz
118.198000,26.184000,71210503,2023-04-27 22,尤溪大桥,103.60,,,103.60,108.50,,浙闽台河流,,闽江中下游区,,,,116.00,,,,104.50,河道,1994-05-03 00:00:00,,111.730
118.199000,26.171000,71210520,2023-04-27 22,水东水库,139.09,,,139.09,143.00,,浙闽台河流,,闽江中下游区,,,,145.00,,,,143.00,水库,,,
117.865000,25.988000,71210700,2023-04-27 22,文江水文站,253.98,,,253.98,258.80,,浙闽台河流,,闽江中下游区,,,,,,,,256.30,河道,1994-05-03 00:00:00,,259.160
118.800000,26.563000,71211025,2023-04-27 22,古田一级水库,367.39,,,367.39,382.63,,浙闽台河流,,闽东沿海诸河,,,,384.50,,,,381.00,水库,,,
118.766667,26.551111,71211027,2023-04-27 22,古田二级水库,252.88,,,252.88,260.70,,浙闽台河流,,闽东沿海诸河,,,,,,,,254.00,水库,,,
118.745556,25.963084,71211570,2023-04-27 22,岭里水库,70.00,,,70.00,77.61,,浙闽台河流,,闽江中下游区,,,,81.10,,,,76.00,水库,,,
118.851000,26.210000,71211850,2023-04-27 22,闽清,13.05,,,13.05,21.30,,浙闽台河流,,闽江中下游区,,,,,,,11.600,15.80,河道,,,
119.140669,26.064472,71212100,2023-04-27 22,溪源宫,11.52,,,11.52,,,浙闽台河流,,闽江中下游区,,,,,,,1.420,,河道,,,
119.105893,26.062907,71212170,2023-04-27 22,溪源水库,81.04,,,81.04,105.58,,浙闽台河流,,闽江中下游区,,,,109.00,,,,88.00,水库,,,
118.283000,25.500000,71212300,2023-04-27 22,凤洋,461.76,,,461.76,467.00,,浙闽台河流,,闽江中下游区,,,,467.86,,,21.740,464.00,河道,2016-09-15 00:00:00,,465.040
118.329167,25.748333,71212370,2023-04-27 22,东固水库,392.61,,,392.61,410.03,,浙闽台河流,,闽江中下游区,,,,412.00,,,,409.00,水库,,,
118.309722,25.795833,71212380,2023-04-27 22,涌溪水库,505.88,,,505.88,532.00,,浙闽台河流,,闽江中下游区,,,,533.50,,,,531.00,水库,,,
118.433300,25.733333,71212390,2023-04-27 22,涌口水库,245.13,,,245.13,246.00,,浙闽台河流,,闽江中下游区,,,,248.00,,,,246.00,水库,,,
118.584000,25.807000,71212400,2023-04-27 22,嵩口,134.88,,,134.88,,,浙闽台河流,,闽江中下游区,,,,,,,,137.20,河道,1960-06-10 00:00:00,,143.460
118.949000,25.865000,71212500,2023-04-27 22,永泰,27.98,,,27.98,34.50,,浙闽台河流,,闽江中下游区,,,,,,,88.800,31.00,河道,,,
118.878483,25.824735,71212690,2023-04-27 22,界竹口水库,73.65,,,73.65,74.82,,浙闽台河流,,闽江中下游区,,,,81.30,,,,74.50,水库,,,
118.930378,25.887322,71212700,2023-04-27 22,太平口,45.78,,,45.78,,,浙闽台河流,,闽江中下游区,,,,,,,,,河道,,,
118.610000,25.609000,71212760,2023-04-27 22,溪尾,826.58,,,826.58,845.04,,浙闽台河流,,闽南沿海诸河,,,,,,,,842.50,水库,,,
119.452000,26.093000,71212970,2023-04-27 22,白眉水库,23.41,,,23.41,40.47,,浙闽台河流,,闽江中下游区,,,,42.80,,,,38.45,水库,,,
118.333300,26.633300,71222900,2023-04-27 22,大凤,3.04,,,3.04,,,浙闽台河流,,闽江中下游区,,,,,,,9.100,,河道,,,
119.284219,26.155547,71248600,2023-04-27 22,赤桥（二）,50.92,,,50.92,,,浙闽台河流,,闽江中下游区,,,,,,,,,河道,,,
118.579167,25.895278,71253500,2023-04-27 22,长庆,158.81,,,158.81,,,浙闽台河流,,闽江中下游区,,,,,,,,,河道,,,
118.501389,24.969917,71300101,2023-04-27 22,石砻,6.94,,,6.94,12.00,,浙闽台河流,,晋江,,,,12.16,,,,8.00,河道,1956-09-19 18:00:00,,12.350
118.582861,24.892389,71300300,2023-04-27 22,泉州大桥,-1.52,,,-1.52,7.20,,浙闽台河流,,晋江,,,,10.33,,,,3.80,潮位,1961-09-13 15:00:00,,6.390
117.905444,25.369361,71310100,2023-04-27 22,仙荣,249.93,,,249.93,,,浙闽台河流,,闽南沿海诸河,,,,,,,14.432,252.50,河道,,,
118.036000,25.241000,71310200,2023-04-27 22,湖头,97.51,,,97.51,,,浙闽台河流,,晋江,,,,,,,14.760,100.00,河道,1961-09-13 12:16:00,,103.360
118.222980,25.066880,71310302,2023-04-27 22,安溪(过溪),30.37,,,30.37,40.00,,浙闽台河流,,晋江,,,,,,,,36.00,河道,,,
118.383000,24.966000,71310400,2023-04-27 22,南安,11.13,,,11.13,21.00,,浙闽台河流,,晋江,,,,,,,63.147,14.00,河道,1961-09-13 12:30:00,,19.810
117.965300,25.113100,71310447,2023-04-27 22,尚卿,224.25,,,224.25,,,浙闽台河流,,晋江,,,,,,,5.765,226.00,河道,,,
117.888611,25.155833,71310460,2023-04-27 22,兰田水库,596.26,,,596.26,598.00,,浙闽台河流,,晋江,,,,600.50,,,,598.00,水库,,,
118.083000,25.016000,71310500,2023-04-27 22,官桥,81.72,,,81.72,88.40,,浙闽台河流,,晋江,,,,,,,8.500,86.50,河道,1960-06-10 02:15:00,,89.330
