damel,时间,省,流域,河名,库水位(米),站点编号,站名,蓄水量(百万3),入库(米3/秒)
0,2023-04-26 14:00:00,安徽省,淮河,史河,111.08,50500301,梅山,530,0
0,2023-04-25 14:00:00,河南省,淮河,灌河,97.01,50502400,鲇鱼山,178,0
0,2023-04-26 08:00:00,河南省,淮河,颍河,221.43,50600300,白沙,74,0
0,2023-04-26 14:00:00,河南省,淮河,沙河,163.4,50603000,昭平台,99,0
0,2023-04-26 14:00:00,河南省,淮河,沙河,101.22,50603200,白龟山,197,0
0,2023-04-26 08:00:00,河南省,淮河,澎河,144.69,50604640,澎河,16,0
0,2023-04-26 08:00:00,河南省,淮河,马兰河,433.78,50604780,玉马,17,0
0,2023-04-26 14:00:00,河南省,淮河,澧河,148.72,50605800,孤石滩,33,0
0,2023-04-26 08:00:00,河南省,淮河,贾鲁河,145.66,50606500,尖岗,19,0
0,2023-04-26 08:00:00,河南省,淮河,贾峪河,0.0,50607300,常庄,0,0
0,2023-04-26 08:00:00,河南省,淮河,索河,0.0,50607400,丁店,0,0
0,2023-04-26 08:00:00,河南省,淮河,双洎河,321.4,50607740,李湾,7,0
0,2023-04-26 14:00:00,安徽省,淮河,淠河东源,177.95,50700901,磨子潭,111,0
0,2023-04-26 14:00:00,安徽省,淮河,淠河东源,117.13,50701001,佛子岭,198,0
0,2023-04-26 14:00:00,安徽省,淮河,淠河西源,109.42,50701301,响洪甸,503,0
0,2023-04-26 14:00:00,山东省,淮河,沂河,174.06,51100300,跋山水库,178,0
0,2023-04-26 14:00:00,山东省,淮河,东汶河,171.65,51103400,岸堤水库,255,0
0,2023-04-26 14:00:00,山东省,淮河,浚河,182.97,51104700,唐村水库,42,0
0,2023-04-26 14:00:00,江苏省,淮河,淋头河,25.3,51106500,阿湖水库站,5,0
0,2023-04-26 14:00:00,江苏省,淮河,骆马湖,23.08,51107800,骆马湖水库,853,0
0,2023-04-26 14:00:00,山东省,淮河,沭河,65.52,51110700,沙沟水库,24,0
0,2023-04-26 14:00:00,江苏省,淮河,新沭河,23.54,51112101,石梁河水库,210,0
0,2023-04-26 14:00:00,江苏省,淮河,厚镇河,15.83,51114500,安峰山水库,39,0
0,2023-04-26 14:00:00,山东省,淮河,浔河,123.17,51114800,陡山水库,103,0
0,2023-04-26 08:00:00,山东省,淮河,城河,123.8,51208600,岩马水库,79,0
0,2023-04-26 14:00:00,山东省,淮河,西泇河,73.17,51209900,会宝岭水库(南),80,0
0,2023-04-26 14:00:00,江苏省,淮河,青口河,30.56,51300601,小塔山水库,83,0
0,2023-04-26 14:00:00,湖北省,长江,长江,156.68,60106980,三峡,23913,8600
0,2023-04-26 14:00:00,重庆市,长江,大洪河,288.47,60512050,大洪河,67,5
0,2023-04-26 08:00:00,重庆市,长江,龙溪河,335.99,60512080,狮子滩,334,32
0,2023-04-26 08:00:00,重庆市,长江,龙河,456.36,60531770,石板水,39,3
